Metric,Value,Category
AdjOE,118.468,Offensive
AdjOE,111.812,Offensive
AdjOE,119.359,Offensive
AdjOE,113.04,Offensive
AdjOE,120.928,Offensive
AdjOE,117.269,Offensive
AdjOE,112.286,Offensive
AdjOE,116.287,Offensive
AdjOE,115.104,Offensive
AdjOE,111.11,Offensive
AdjOE,110.566,Offensive
AdjOE,111.137,Offensive
AdjOE,113.586,Offensive
AdjOE,109.374,Offensive
AdjOE,115.397,Offensive
AdjOE,117.177,Offensive
AdjOE,115.21,Offensive
AdjOE,116.743,Offensive
AdjOE,112.353,Offensive
AdjOE,117.365,Offensive
AdjOE,109.773,Offensive
AdjOE,110.609,Offensive
AdjOE,111.752,Offensive
AdjOE,109.058,Offensive
AdjOE,112.552,Offensive
AdjOE,106.021,Offensive
AdjOE,111.486,Offensive
AdjOE,116.327,Offensive
AdjOE,109.735,Offensive
AdjOE,113.365,Offensive
AdjOE,114.71,Offensive
AdjOE,109.509,Offensive
AdjOE,117.248,Offensive
AdjOE,109.656,Offensive
AdjOE,112.442,Offensive
AdjOE,114.854,Offensive
AdjOE,109.651,Offensive
AdjOE,112.831,Offensive
AdjOE,115.302,Offensive
AdjOE,111.462,Offensive
AdjOE,117.719,Offensive
AdjOE,112.469,Offensive
AdjOE,108.952,Offensive
AdjOE,106.679,Offensive
AdjOE,111.366,Offensive
AdjOE,117.417,Offensive
AdjOE,104.94,Offensive
AdjOE,111.193,Offensive
AdjOE,112.915,Offensive
AdjOE,105.153,Offensive
AdjOE,113.146,Offensive
AdjOE,117.35,Offensive
AdjOE,114.319,Offensive
AdjOE,109.335,Offensive
AdjOE,108.256,Offensive
AdjOE,107.88,Offensive
AdjOE,105.858,Offensive
AdjOE,114.889,Offensive
AdjOE,113.4,Offensive
AdjOE,110.915,Offensive
AdjOE,110.466,Offensive
AdjOE,110.602,Offensive
AdjOE,109.674,Offensive
AdjOE,110.31,Offensive
AdjOE,111.311,Offensive
AdjOE,108.476,Offensive
AdjOE,114.227,Offensive
AdjOE,112.748,Offensive
AdjOE,107.425,Offensive
AdjOE,117.196,Offensive
AdjOE,117.84,Offensive
AdjOE,108.773,Offensive
AdjOE,112.949,Offensive
AdjOE,118.758,Offensive
AdjOE,105.735,Offensive
AdjOE,109.141,Offensive
AdjOE,114.143,Offensive
AdjOE,109.087,Offensive
AdjOE,118.07,Offensive
AdjOE,110.701,Offensive
AdjOE,111.875,Offensive
AdjOE,112.18,Offensive
AdjOE,109.881,Offensive
AdjOE,113.356,Offensive
AdjOE,115.971,Offensive
AdjOE,111.332,Offensive
AdjOE,103.802,Offensive
AdjOE,113.009,Offensive
AdjOE,119.103,Offensive
AdjOE,109.964,Offensive
AdjOE,112.926,Offensive
AdjOE,105.932,Offensive
AdjOE,107.457,Offensive
AdjOE,106.409,Offensive
AdjOE,112.848,Offensive
AdjOE,110.295,Offensive
AdjOE,108.069,Offensive
AdjOE,112.856,Offensive
